Species ;Min. depth ;Max. depth 
Pavona chiriquiensis ;3 ;30 
Pavona clavus ;2 ;15 
Pavona danai ;0.5 ;15 
Pavona decussata ;3 ;15 
Pavona diffluens ;5 ;20 
Pavona duerdeni ;3 ;15 
Pavona explanulata ;3 ;25 
Pavona frondifera ;3 ;15 
Pavona gigantea ;1 ;30 
Pavona varians ;2 ;80 
Pavona venosa ;2 ;20 
Pavona xarifae ;0 ;20 
Pectinia africanus ;3 ;30 
Pectinia alcicornis ;5 ;25 
Pectinia elongata ;5 ;25 
Pectinia lactuca ;3 ;15 
Pectinia maxima ;3 ;25 
Pectinia paeonia ;3 ;25 
Pectinia pygmaeus ;5 ;30 
Pectinia teres ;5 ;30 
Physogyra lichtensteini ;1 ;20 
Physophyllia ayleni ;2 ;25 
Platygyra acuta ;2 ;20 
Platygyra carnosus ;2 ;15 
Platygyra contorta ;2 ;20 
Platygyra crosslandi ;2 ;20 
Platygyra lamellina ;1 ;30 
Platygyra pini ;0 ;30 
Platygyra ryukyuensis ;2 ;30 
Platygyra sinensis ;0 ;30 
Platygyra verweyi ;1 ;20 
Platygyra yaeyamaensis ;1 ;20 
Plerogyra discus ;8 ;15 
Plerogyra simplex ;3 ;30 
Plesiastrea versipora ;1 ;40 
Pleuractis granulosa ;2 ;33 
Pleuractis moluccensis ;3 ;30 
Pleuractis seychellensis ;5 ;25 
Pleuractis taiwanensis ;15 ;35 
Pocillopora ankeli ;1 ;10 
Pocillopora capitata ;1 ;20 
Pocillopora danae ;1 ;15 
Pocillopora elegans ;1 ;20 
Pocillopora eydouxi ;2 ;20 
Pocillopora fungiformis ;0.5 ;15 
Pocillopora indiania ;2 ;20 
Pocillopora inflata ;1 ;10 
Pocillopora kelleheri ;5 ;40 
Pocillopora meandrina ;1 ;27 
Pocillopora verrucosa ;1 ;54 
Pocillopora woodjonesi ;2 ;26 
Pocillopora zelli ;2 ;15 
Podabacia motuporensis ;5 ;20 
Podabacia sinai ;10 ;20 
Polyphyllia novaehiberniae ;1 ;15 
Polyphyllia talpina ;1 ;30 
Porites annae ;0.5 ;30 
Porites aranetai ;2 ;20 
Porites arnaudi ;7 ;37 
Porites astreoides ;0.2 ;70 
Porites attenuata ;2 ;20 
Porites branneri ;0 ;3 
Porites colonensis ;2 ;25 
Porites columnaris ;0 ;15 
Porites compressa ;0 ;30 
Porites cumulatus ;2 ;20 
Porites cylindrica ;1 ;20 
Porites decasepta ;4 ;7 
Porites deformis ;0.5 ;30 
Porites densa ;1 ;20 
Porites divaricata ;0.1 ;47 
Porites eridani ;2 ;20 
Porites evermanni ;1 ;30 
Porites flavus ;1 ;20 
Porites furcata ;0.2 ;50 
Porites harrisoni ;1 ;15 
Porites heronensis ;1 ;20 
Porites horizontalata ;5 ;20 
Porites latistella ;1 ;20 
Porites lobata ;0 ;30 
Porites mayeri ;3 ;20 
Porites monticulosa ;3 ;20 
Porites murrayensis ;0 ;5 
Porites napopora ;3 ;15 
Porites negrosensis ;2 ;15 
Porites nigrescens ;0.5 ;20 
Porites nodifera ;5 ;15 
Porites ornata ;3 ;15 
Porites panamensis ;0 ;36 
Porites porites ;0.5 ;35 
Porites profundus ;3 ;15 
Porites rugosa ;3 ;15 
Porites sillimaniani ;1 ;5 
Porites somaliensis ;1 ;20 
Porites stephensoni ;0 ;5 
Porites studeri ;10 ;40 
Porites sverdrupi ;1 ;40 
Porites tuberculosa ;1 ;20 
Porites vaughani ;1 ;40 
Psammocora albopicta ;1 ;28 
Psammocora contigua ;0 ;30 
Psammocora contigua ;0 ;4 
Psammocora digitata ;1 ;20 
Psammocora haimiana ;0 ;40 
Psammocora superficialis ;2 ;30 
Psammocora verrilli ;1 ;30 
Pseudosiderastrea tayamai ;8 ;20 
Sandalolitha dentata ;6 ;25 
Sandalolitha robusta ;1 ;21 
Scapophyllia cylindrica ;2 ;25 
Schizoculina africana ;1 ;35 
Schizoculina fissipara ;1 ;35 
Sclerophyllia maxima ;5 ;15 
Scolymia cubensis ;10 ;92 
Scolymia lacera ;10 ;80 
Scolymia wellsi ;10 ;40 
Seriatopora aculeata ;3 ;40 
Seriatopora caliendrum ;1 ;40 
Seriatopora dentritica ;3 ;40 
Seriatopora guttata ;3 ;40 
Seriatopora stellata ;1 ;20 
Siderastrea glynni ;7 ;9 
Siderastrea radians ;0 ;3 
Siderastrea savignyana ;1 ;10 
Siderastrea siderea ;0 ;70 
Solenastrea bournoni ;0.5 ;30 
Solenastrea hyades ;1 ;40 
Stephanocoenia intersepta ;1 ;100 
Stylocoeniella armata ;1 ;50 
Stylocoeniella cocosensis ;2 ;10 
Stylocoeniella guentheri ;3 ;50 
Stylocoeniella muscosus ;10 ;18 
Stylophora danae ;5 ;40 
Stylophora madagascarensis ;2 ;20 
Stylophora subseriata ;2 ;30 
Stylophora wellsi ;0 ;10 
Symphyllia agaricia ;2 ;40 
Symphyllia erythraea ;2 ;45 
Symphyllia hassi ;4 ;20 
Symphyllia radians ;0 ;40 
Symphyllia recta ;0 ;40 
Symphyllia valenciennesii ;2 ;40 
Trachyphyllia geoffroyi ;2 ;40 
Turbinaria bifrons ;2 ;25 
Turbinaria conspicua ;2 ;20 
Turbinaria frondens ;7 ;20 
Turbinaria heronensis ;5 ;15 
Turbinaria mesenterina ;3 ;20 
Turbinaria patula ;7 ;20 
Turbinaria radicalis ;2 ;25 
Turbinaria reniformis ;2 ;15 
Turbinaria stellulata ;2 ;15 
Zoopilus echinatus ;12 ;20 
